AccelX,AccelY,AccelZ,OldAX,OldAY,OldAZ,Old2AX,Old2AY,Old2AZ,AvgAX,AvgAY,AvgAZ,DX,DY,Dz
-0.7546,-1.3034,9.8,-4.18278e+35,1.77965e-43,1.58932e-38,0,-5.04591e-26,0,-1.39426e+35,-0.434467,3.26667,-6.9713e+32,-0.00217233,0.0163333
0.147,2.0384,10.2606,-0.7546,-1.3034,9.8,-0.7546,-1.3034,9.8,-0.454067,-0.189467,9.95353,-6.9713e+32,-0.00311967,0.066101
-1.5386,-1.617,9.5844,0.147,2.0384,10.2606,0.147,2.0384,10.2606,-0.414867,0.819933,10.0352,-6.9713e+32,0.000979999,0.116277
-4.1846,-1.5974,9.3198,-1.5386,-1.617,9.5844,-1.5386,-1.617,9.5844,-2.4206,-1.61047,9.4962,-6.9713e+32,-0.00707234,0.163758
-0.7056,-2.5578,10.143,-4.1846,-1.5974,9.3198,-4.1846,-1.5974,9.3198,-3.02493,-1.91753,9.5942,-6.9713e+32,-0.01666,0.211729
0.0686,-1.9894,9.653,-0.7056,-2.5578,10.143,-0.7056,-2.5578,10.143,-0.447533,-2.36833,9.97967,-6.9713e+32,-0.0285017,0.261627
-0.4508,-1.2054,10.9074,0.0686,-1.9894,9.653,0.0686,-1.9894,9.653,-0.104533,-1.72807,10.0711,-6.9713e+32,-0.037142,0.311983
-0.6174,-0.8036,10.0548,-0.4508,-1.2054,10.9074,-0.4508,-1.2054,10.9074,-0.506333,-1.07147,10.6232,-6.9713e+32,-0.0424993,0.365099
0.0686,-0.5586,10.2018,-0.6174,-0.8036,10.0548,-0.6174,-0.8036,10.0548,-0.388733,-0.721933,10.1038,-6.9713e+32,-0.046109,0.415618
0.3234,-0.8918,10.0058,0.0686,-0.5586,10.2018,0.0686,-0.5586,10.2018,0.153533,-0.669667,10.1365,-6.9713e+32,-0.0494573,0.4663
0.0686,-0.8526,10.0744,0.3234,-0.8918,10.0058,0.3234,-0.8918,10.0058,0.238467,-0.878733,10.0287,-6.9713e+32,-0.053851,0.516444
0.0686,-0.8134,10.0156,0.0686,-0.8526,10.0744,0.0686,-0.8526,10.0744,0.0686,-0.839533,10.0548,-6.9713e+32,-0.0580487,0.566718
0.2548,-0.9506,10.4958,0.0686,-0.8134,10.0156,0.0686,-0.8134,10.0156,0.130667,-0.859133,10.1757,-6.9713e+32,-0.0623443,0.617596
-0.6076,-0.7546,10.1528,0.2548,-0.9506,10.4958,0.2548,-0.9506,10.4958,-0.0326667,-0.885267,10.3815,-6.9713e+32,-0.0667707,0.669503
-1.5288,-0.8036,9.849,-0.6076,-0.7546,10.1528,-0.6076,-0.7546,10.1528,-0.914667,-0.770933,10.0515,-6.9713e+32,-0.0706253,0.719761
-4.018,0.4214,8.5456,-1.5288,-0.8036,9.849,-1.5288,-0.8036,9.849,-2.35853,-0.395267,9.41453,-6.9713e+32,-0.0726017,0.766834
-1.2642,-0.7546,9.8392,-4.018,0.4214,8.5456,-4.018,0.4214,8.5456,-3.10007,0.0294,8.9768,-6.9713e+32,-0.0724547,0.811718
-1.1956,-0.931,9.0258,-1.2642,-0.7546,9.8392,-1.2642,-0.7546,9.8392,-1.24133,-0.8134,9.56807,-6.9713e+32,-0.0765217,0.859558
-0.9702,-1.9012,9.8098,-1.1956,-0.931,9.0258,-1.1956,-0.931,9.0258,-1.12047,-1.2544,9.28713,-6.9713e+32,-0.0827937,0.905994
-1.47,-0.6762,10.388,-0.9702,-1.9012,9.8098,-0.9702,-1.9012,9.8098,-1.1368,-1.49287,10.0025,-6.9713e+32,-0.090258,0.956006
-0.6468,-0.8428,9.947,-1.47,-0.6762,10.388,-1.47,-0.6762,10.388,-1.1956,-0.731733,10.241,-6.9713e+32,-0.0939167,1.00721
-0.784,-1.4308,10.0744,-0.6468,-0.8428,9.947,-0.6468,-0.8428,9.947,-0.692533,-1.0388,9.98947,-6.9713e+32,-0.0991107,1.05716
-1.0388,-0.6076,10.0548,-0.784,-1.4308,10.0744,-0.784,-1.4308,10.0744,-0.868933,-1.1564,10.0679,-6.9713e+32,-0.104893,1.1075
-0.5488,-1.323,10.0646,-1.0388,-0.6076,10.0548,-1.0388,-0.6076,10.0548,-0.875467,-0.846067,10.0581,-6.9713e+32,-0.109123,1.15779
-0.2156,-1.6856,9.9862,-0.5488,-1.323,10.0646,-0.5488,-1.323,10.0646,-0.437733,-1.44387,10.0385,-6.9713e+32,-0.116342,1.20798
-0.245,-0.9506,9.6824,-0.2156,-1.6856,9.9862,-0.2156,-1.6856,9.9862,-0.2254,-1.4406,9.88493,-6.9713e+32,-0.123545,1.25741
-0.0784,-0.9604,9.8588,-0.245,-0.9506,9.6824,-0.245,-0.9506,9.6824,-0.189467,-0.953867,9.7412,-6.9713e+32,-0.128315,1.30611
