Accel_X,Accel_Y,Accel_Z,modAccel_X,modAccel_Y,modAccel_Z,Displ_X,Disp_Y,Displ_Z
-1.5288,-2.8126,10.0156,-1.5288,-2.8126,10.0156,-0.007644,-0.014063,0.050078
-1.0878,-2.3226,9.3884,0.441,0.49,-0.627199,-0.005439,-0.011613,0.046942
-1.9992,-2.6264,9.4668,-0.9114,-0.3038,0.0783997,-0.009996,-0.013132,0.047334
-1.813,-2.3226,9.4962,0.1862,0.3038,0.0293999,-0.009065,-0.011613,0.047481
-2.303,-2.45,9.7902,-0.49,-0.1274,0.294001,-0.011515,-0.01225,0.048951
-2.254,-2.2932,9.5844,0.049,0.1568,-0.2058,-0.01127,-0.011466,0.047922
-1.862,-3.0968,9.653,0.392,-0.8036,0.0685997,-0.00931,-0.015484,0.048265
-2.1168,-3.1752,9.9862,-0.2548,-0.0783999,0.3332,-0.010584,-0.015876,0.049931
-2.1168,-2.3422,9.4178,0,0.833,-0.5684,-0.010584,-0.011711,0.047089
-1.8718,-2.3912,9.408,0.245,-0.049,-0.00979996,-0.009359,-0.011956,0.04704
-0.9016,-2.9988,10.143,0.9702,-0.6076,0.735,-0.004508,-0.014994,0.050715
-2.6754,-2.8224,9.2806,-1.7738,0.1764,-0.862399,-0.013377,-0.014112,0.046403
-1.7934,-2.5382,9.7412,0.882,0.2842,0.4606,-0.008967,-0.012691,0.048706
-1.8326,-2.4402,9.4766,-0.0392002,0.098,-0.264601,-0.009163,-0.012201,0.047383
-1.6268,-2.842,9.8,0.2058,-0.4018,0.3234,-0.008134,-0.01421,0.049
-1.9992,-3.0184,9.947,-0.3724,-0.1764,0.146999,-0.009996,-0.015092,0.049735
-2.6558,-2.1266,9.5354,-0.6566,0.8918,-0.4116,-0.013279,-0.010633,0.047677
-2.1658,-1.8718,9.3296,0.49,0.2548,-0.205799,-0.010829,-0.009359,0.046648
-1.8718,-2.9596,9.7902,0.294,-1.0878,0.4606,-0.009359,-0.014798,0.048951
-2.254,-3.5966,9.702,-0.3822,-0.637,-0.0882006,-0.01127,-0.017983,0.04851
-1.0878,-2.45,9.6726,1.1662,1.1466,-0.0293999,-0.005439,-0.01225,0.048363
-1.4504,-2.1462,9.3198,-0.3626,0.3038,-0.3528,-0.007252,-0.010731,0.046599
-1.9992,-2.4598,9.7804,-0.5488,-0.3136,0.460601,-0.009996,-0.012299,0.048902
-1.0584,-2.989,9.604,0.9408,-0.5292,-0.1764,-0.005292,-0.014945,0.04802
-0.5586,-2.8616,9.653,0.4998,0.1274,0.0489998,-0.002793,-0.014308,0.048265
-0.7252,-3.1066,9.8588,-0.1666,-0.245,0.205801,-0.003626,-0.015533,0.049294
-0.8428,-2.9596,9.4178,-0.1176,0.147,-0.441001,-0.004214,-0.014798,0.047089
-0.4606,-3.4006,9.8,0.3822,-0.441,0.3822,-0.002303,-0.017003,0.049
-0.6272,-3.136,9.8882,-0.1666,0.2646,0.0881996,-0.003136,-0.01568,0.049441
0.0196,-3.1164,9.7608,0.6468,0.0195999,-0.127399,9.79972e-05,-0.015582,0.048804
-0.2646,-3.4986,9.4668,-0.2842,-0.3822,-0.294001,-0.001323,-0.017493,0.047334
-0.6566,-3.1066,9.4472,-0.392,0.392,-0.0195999,-0.003283,-0.015533,0.047236
-0.49,-3.4104,9.8196,0.1666,-0.3038,0.3724,-0.00245,-0.017052,0.049098
-0.0784,-3.4104,9.4668,0.4116,0,-0.3528,-0.000392003,-0.017052,0.047334
-0.0882,-3.4006,9.3786,-0.00979999,0.00979996,-0.0881996,-0.000441003,-0.017003,0.046893
-0.4018,-3.4202,9.4864,-0.3136,-0.0196002,0.1078,-0.002009,-0.017101,0.047432
-0.8232,-3.4986,9.261,-0.4214,-0.0783999,-0.2254,-0.004116,-0.017493,0.046305
-0.2254,-3.2144,9.1434,0.5978,0.2842,-0.117599,-0.001127,-0.016072,0.045717
-0.3724,-3.724,9.4178,-0.147,-0.5096,0.2744,-0.001862,-0.01862,0.047089
-0.1372,-3.3418,9.2708,0.2352,0.3822,-0.147,-0.000686003,-0.016709,0.046354
-0.2744,-3.332,9.163,-0.1372,0.00979996,-0.1078,-0.001372,-0.01666,0.045815
0.0686,-3.6064,9.5844,0.343,-0.2744,0.4214,0.000342997,-0.018032,0.047922
0.2548,-3.3418,9.3884,0.1862,0.2646,-0.196,0.001274,-0.016709,0.046942
-0.0294,-3.185,9.4864,-0.2842,0.1568,0.0979996,-0.000147003,-0.015925,0.047432
-0.0784,-2.9694,9.4178,-0.049,0.2156,-0.0685997,-0.000392003,-0.014847,0.047089
-0.4998,-3.0576,9.3394,-0.4214,-0.0882001,-0.0783997,-0.002499,-0.015288,0.046697
-0.245,-3.1262,9.506,0.2548,-0.0685999,0.1666,-0.001225,-0.015631,0.04753
-0.9604,-2.7636,9.359,-0.7154,0.3626,-0.147,-0.004802,-0.013818,0.046795
-1.4798,-2.8028,9.408,-0.5194,-0.0392001,0.0489998,-0.007399,-0.014014,0.04704
-1.617,-2.6068,9.4276,-0.1372,0.196,0.0195999,-0.008085,-0.013034,0.047138
-1.2838,-2.4402,9.408,0.3332,0.1666,-0.0195999,-0.006419,-0.012201,0.04704
-1.274,-2.7832,9.4864,0.00980008,-0.343,0.0783997,-0.00637,-0.013916,0.047432
-1.4896,-2.4206,9.4472,-0.2156,0.3626,-0.0391998,-0.007448,-0.012103,0.047236
-1.5582,-2.2442,9.4276,-0.0686001,0.1764,-0.0195999,-0.007791,-0.011221,0.047138
-1.7052,-2.254,9.6138,-0.147,-0.00979996,0.1862,-0.008526,-0.01127,0.048069
-2.0188,-1.666,9.6628,-0.3136,0.588,0.0489998,-0.010094,-0.00833,0.048314
-1.6954,-1.715,9.506,0.3234,-0.0489999,-0.156799,-0.008477,-0.008575,0.04753
-1.8718,-1.7738,9.4766,-0.1764,-0.0588,-0.0294008,-0.009359,-0.008869,0.047383
-1.5092,-1.7052,9.3884,0.3626,0.0685999,-0.0881996,-0.007546,-0.008526,0.046942
-1.5974,-2.2246,9.9862,-0.0882001,-0.5194,0.5978,-0.007987,-0.011123,0.049931
-1.2152,-1.5778,9.2414,0.3822,0.6468,-0.744801,-0.006076,-0.007889,0.046207
-1.5386,-1.617,9.604,-0.3234,-0.0392001,0.3626,-0.007693,-0.008085,0.04802
-1.176,-1.9502,9.7412,0.3626,-0.3332,0.1372,-0.00588,-0.009751,0.048706
-2.1364,-1.5778,9.5256,-0.9604,0.3724,-0.2156,-0.010682,-0.007889,0.047628
-1.7052,-1.568,9.604,0.4312,0.00980008,0.0783997,-0.008526,-0.00784,0.04802
-2.058,-1.2838,9.359,-0.3528,0.2842,-0.245,-0.01029,-0.006419,0.046795
-1.9992,-1.7346,9.6726,0.0587999,-0.4508,0.3136,-0.009996,-0.008673,0.048363
-1.9992,-1.8914,9.898,0,-0.1568,0.2254,-0.009996,-0.009457,0.04949
-1.5778,-1.6072,9.5158,0.4214,0.2842,-0.382199,-0.007889,-0.008036,0.047579
-2.0776,-1.6954,9.7118,-0.4998,-0.0881999,0.195999,-0.010388,-0.008477,0.048559
-2.499,-1.9698,9.8,-0.4214,-0.2744,0.0882006,-0.012495,-0.009849,0.049
-2.4598,-1.7934,9.8392,0.0392003,0.1764,0.0391989,-0.012299,-0.008967,0.049196
-2.0678,-1.372,9.653,0.392,0.4214,-0.186199,-0.010339,-0.00686,0.048265
-0.7742,-1.7052,9.3394,1.2936,-0.3332,-0.3136,-0.003871,-0.008526,0.046697
-1.2642,-1.323,9.163,-0.49,0.3822,-0.1764,-0.006321,-0.006615,0.045815
-1.4602,-1.9894,9.9176,-0.196,-0.6664,0.7546,-0.007301,-0.009947,0.049588
-2.3422,-1.96,9.7118,-0.882,0.0293999,-0.2058,-0.011711,-0.0098,0.048559
-0.6762,-2.8126,10.1528,1.666,-0.8526,0.441001,-0.003381,-0.014063,0.050764
-0.9408,-2.1658,9.555,-0.2646,0.6468,-0.5978,-0.004704,-0.010829,0.047775
-1.0192,-1.8914,9.6824,-0.0784,0.2744,0.127399,-0.005096,-0.009457,0.048412
-0.9408,-1.7738,9.6432,0.0784,0.1176,-0.0391998,-0.004704,-0.008869,0.048216
-1.1074,-1.617,9.2806,-0.1666,0.1568,-0.362599,-0.005537,-0.008085,0.046403
-2.0972,-1.9992,9.212,-0.9898,-0.3822,-0.0686007,-0.010486,-0.009996,0.04606
-1.0094,-2.2442,9.849,1.0878,-0.245,0.637,-0.005047,-0.011221,0.049245
-1.4308,-2.1462,9.7706,-0.4214,0.098,-0.0784006,-0.007154,-0.010731,0.048853
-1.1564,-2.1364,9.653,0.2744,0.00979996,-0.117599,-0.005782,-0.010682,0.048265
-1.029,-2.0874,9.4962,0.1274,0.049,-0.1568,-0.005145,-0.010437,0.047481
-1.1368,-1.96,9.3002,-0.1078,0.1274,-0.195999,-0.005684,-0.0098,0.046501
-1.2446,-2.156,9.5648,-0.1078,-0.196,0.2646,-0.006223,-0.01078,0.047824
-1.2348,-2.156,9.9764,0.00980008,0,0.4116,-0.006174,-0.01078,0.049882
-1.2642,-2.0286,9.6334,-0.0294,0.1274,-0.343,-0.006321,-0.010143,0.048167
-1.6268,-1.9992,9.4766,-0.3626,0.0294,-0.1568,-0.008134,-0.009996,0.047383
-1.1564,-2.0972,9.4472,0.4704,-0.0979999,-0.0293999,-0.005782,-0.010486,0.047236
-0.882,-2.0972,9.4766,0.2744,0,0.0293999,-0.00441,-0.010486,0.047383
-0.98,-2.401,9.5746,-0.098,-0.3038,0.0980005,-0.0049,-0.012005,0.047873
-1.3034,-2.2246,9.5648,-0.3234,0.1764,-0.00979996,-0.006517,-0.011123,0.047824
-1.2054,-2.1756,9.359,0.098,0.049,-0.2058,-0.006027,-0.010878,0.046795
-1.2544,-2.4304,9.6334,-0.049,-0.2548,0.2744,-0.006272,-0.012152,0.048167
-0.9996,-2.4402,10.0254,0.2548,-0.0098002,0.392,-0.004998,-0.012201,0.050127
-0.9898,-1.7346,9.163,0.00979996,0.7056,-0.8624,-0.004949,-0.008673,0.045815
-1.4798,-2.5088,9.5844,-0.49,-0.7742,0.4214,-0.007399,-0.012544,0.047922
-1.2544,-2.7244,9.8196,0.2254,-0.2156,0.2352,-0.006272,-0.013622,0.049098
-1.0976,-3.381,9.8098,0.1568,-0.6566,-0.00979996,-0.005488,-0.016905,0.049049
-1.372,-4.1258,9.6726,-0.2744,-0.7448,-0.1372,-0.00686,-0.020629,0.048363
-0.441,-2.2148,8.8592,0.931,1.911,-0.8134,-0.002205,-0.011074,0.044296
-0.2058,-2.1952,8.8984,0.2352,0.0195999,0.0392008,-0.001029,-0.010976,0.044492
-1.0486,-4.0082,9.6628,-0.8428,-1.813,0.7644,-0.005243,-0.020041,0.048314
-1.7052,-3.5084,8.9082,-0.6566,0.4998,-0.7546,-0.008526,-0.017542,0.044541
-1.372,-3.871,9.1336,0.3332,-0.3626,0.2254,-0.00686,-0.019355,0.045668
-0.6958,-3.4692,8.9768,0.6762,0.4018,-0.1568,-0.003479,-0.017346,0.044884
-1.2642,-3.8612,9.4178,-0.5684,-0.392,0.441,-0.006321,-0.019306,0.047089
-1.2838,-3.381,9.3492,-0.0196,0.4802,-0.0685997,-0.006419,-0.016905,0.046746
-2.7244,-2.94,8.771,-1.4406,0.441,-0.5782,-0.013622,-0.0147,0.043855
-1.3132,-2.9792,9.3492,1.4112,-0.0391998,0.5782,-0.006566,-0.014896,0.046746
-1.3132,-3.1164,9.3394,0,-0.1372,-0.00979996,-0.006566,-0.015582,0.046697
-1.3132,-3.2144,9.4668,0,-0.098,0.127399,-0.006566,-0.016072,0.047334
-1.3328,-3.479,9.4276,-0.0196,-0.2646,-0.0391998,-0.006664,-0.017395,0.047138
-1.3034,-3.5182,9.3688,0.0294,-0.0392001,-0.0587997,-0.006517,-0.017591,0.046844
-1.372,-3.5672,9.3786,-0.0685999,-0.049,0.00979996,-0.00686,-0.017836,0.046893
-1.6268,-3.4986,8.7808,-0.2548,0.0685999,-0.5978,-0.008134,-0.017493,0.043904
-1.4896,-3.675,9.5158,0.1372,-0.1764,0.735001,-0.007448,-0.018375,0.047579
-1.4994,-3.3516,9.212,-0.00980008,0.3234,-0.303801,-0.007497,-0.016758,0.04606
-1.5484,-3.4202,9.4864,-0.049,-0.0685999,0.2744,-0.007742,-0.017101,0.047432
-1.764,-3.4496,9.506,-0.2156,-0.0293999,0.0196009,-0.00882,-0.017248,0.04753
-1.029,-2.9498,9.7412,0.735,0.4998,0.2352,-0.005145,-0.014749,0.048706
-1.7836,-3.0086,9.8588,-0.7546,-0.0588,0.1176,-0.008918,-0.015043,0.049294
-1.127,-2.9988,9.9078,0.6566,0.00979996,0.0489998,-0.005635,-0.014994,0.049539
-1.2936,-2.6754,10.1626,-0.1666,0.3234,0.254799,-0.006468,-0.013377,0.050813
-1.617,-2.2834,9.8882,-0.3234,0.392,-0.2744,-0.008085,-0.011417,0.049441
-0.931,-1.7934,9.4864,0.686,0.49,-0.4018,-0.004655,-0.008967,0.047432
-0.5292,-1.6954,9.2904,0.4018,0.098,-0.195999,-0.002646,-0.008477,0.046452
-0.5684,-1.8816,9.3786,-0.0391999,-0.1862,0.0881996,-0.002842,-0.009408,0.046893
-0.2842,-1.5582,9.3198,0.2842,0.3234,-0.0588007,-0.001421,-0.007791,0.046599
-0.3332,-1.0682,9.3688,-0.049,0.49,0.0490007,-0.001666,-0.005341,0.046844
-0.3234,-1.372,9.702,0.00980002,-0.3038,0.3332,-0.001617,-0.00686,0.04851
-0.2156,-1.3916,9.4864,0.1078,-0.0196,-0.2156,-0.001078,-0.006958,0.047432
-0.3234,-1.4014,9.1924,-0.1078,-0.00980008,-0.294,-0.001617,-0.007007,0.045962
0.147,-1.5582,8.9376,0.4704,-0.1568,-0.2548,0.000734997,-0.007791,0.044688
-0.6174,-1.6464,9.2806,-0.7644,-0.0882,0.343,-0.003087,-0.008232,0.046403
-1.274,-1.7934,9.0944,-0.6566,-0.147,-0.186201,-0.00637,-0.008967,0.045472
-1.2348,-1.6758,9.6922,0.0391999,0.1176,0.597801,-0.006174,-0.008379,0.048461
-1.715,-2.3814,10.1332,-0.4802,-0.7056,0.441,-0.008575,-0.011907,0.050666
-1.8914,-2.2638,9.6922,-0.1764,0.1176,-0.441,-0.009457,-0.011319,0.048461
-2.1854,-2.0972,9.5256,-0.294,0.1666,-0.1666,-0.010927,-0.010486,0.047628
-2.842,-4.0376,9.702,-0.6566,-1.9404,0.176399,-0.01421,-0.020188,0.04851
-1.7738,-3.1556,9.212,1.0682,0.882,-0.49,-0.008869,-0.015778,0.04606
-1.0094,-3.3418,9.2022,0.7644,-0.1862,-0.00979996,-0.005047,-0.016709,0.046011
-1.9894,-3.038,9.2512,-0.98,0.3038,0.0489998,-0.009947,-0.01519,0.046256
-1.5288,-3.4692,9.5648,0.4606,-0.4312,0.313601,-0.007644,-0.017346,0.047824
-1.0682,-3.3026,9.163,0.4606,0.1666,-0.4018,-0.005341,-0.016513,0.045815
-1.3132,-3.7632,9.7608,-0.245,-0.4606,0.5978,-0.006566,-0.018816,0.048804
-0.6174,-3.2046,9.3884,0.6958,0.5586,-0.3724,-0.003087,-0.016023,0.046942
-0.8624,-2.8028,9.0356,-0.245,0.4018,-0.3528,-0.004312,-0.014014,0.045178
-1.1858,-3.1948,9.3002,-0.3234,-0.392,0.264601,-0.005929,-0.015974,0.046501
-1.3426,-2.9596,9.3982,-0.1568,0.2352,0.0979996,-0.006713,-0.014798,0.046991
-1.1956,-2.842,9.4766,0.147,0.1176,0.0783997,-0.005978,-0.01421,0.047383
-1.225,-2.9792,9.2904,-0.0294,-0.1372,-0.186199,-0.006125,-0.014896,0.046452
-0.4508,-2.94,9.3394,0.7742,0.0391998,0.0489998,-0.002254,-0.0147,0.046697
-0.6762,-2.8322,9.5942,-0.2254,0.1078,0.2548,-0.003381,-0.014161,0.047971
-0.8232,-2.793,9.6726,-0.147,0.0392001,0.0783997,-0.004116,-0.013965,0.048363
-1.0976,-2.3618,9.359,-0.2744,0.4312,-0.3136,-0.005488,-0.011809,0.046795
-1.2152,-2.45,9.4864,-0.1176,-0.0882001,0.127399,-0.006076,-0.01225,0.047432
-1.3034,-2.45,9.5942,-0.0882001,0,0.1078,-0.006517,-0.01225,0.047971
-0.9212,-2.4892,9.6138,0.3822,-0.0392001,0.0195999,-0.004606,-0.012446,0.048069
-0.6076,-2.4696,9.4178,0.3136,0.0196002,-0.196,-0.003038,-0.012348,0.047089
-0.8232,-2.7342,9.555,-0.2156,-0.2646,0.1372,-0.004116,-0.013671,0.047775
-0.686,-2.5872,9.5452,0.1372,0.147,-0.00980091,-0.00343,-0.012936,0.047726
-0.7448,-2.4402,9.7804,-0.0588,0.147,0.235201,-0.003724,-0.012201,0.048902
-0.098,-2.8126,9.555,0.6468,-0.3724,-0.2254,-0.000490004,-0.014063,0.047775
-1.0878,-2.2932,9.408,-0.9898,0.5194,-0.147,-0.005439,-0.011466,0.04704
-1.0682,-2.45,9.4864,0.0196,-0.1568,0.0783997,-0.005341,-0.01225,0.047432
-1.1466,-2.5088,9.6922,-0.0784,-0.0588,0.205801,-0.005733,-0.012544,0.048461
-1.4994,-2.4402,9.5844,-0.3528,0.0685999,-0.1078,-0.007497,-0.012201,0.047922
-1.3034,-2.0678,9.5256,0.196,0.3724,-0.0587997,-0.006517,-0.010339,0.047628
-1.9502,-1.9306,9.8588,-0.6468,0.1372,0.3332,-0.009751,-0.009653,0.049294
-2.7342,-2.0482,9.751,-0.784,-0.1176,-0.1078,-0.013671,-0.010241,0.048755
-2.0188,-2.4108,9.261,0.7154,-0.3626,-0.490001,-0.010094,-0.012054,0.046305
